ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2353661,18200814,USA: 1878,,MKNeuzeit19Jh,"Silber, Dollar (USD), 6, geprägt",Numismatik,1878
2353663,18200816,Australien: Victoria von Großbritannien,"Victoria (1837-1901), Königin von Großbritannien, seit 1877 Kaiserin von Indien",MKNeuzeit19Jh,"Gold, Sovereign, geprägt, 6",Numismatik,1855
2353756,18200912,Antwerpen: Stadt,,MKNeuzeit19Jh,"Bronze, 10 Centimes (FRF), geprägt",Numismatik,1814
2353762,18200918,Großbritannien: Victoria,"Victoria (1837-1901), Königin von Großbritannien, seit 1877 Kaiserin von Indien",MKNeuzeit19Jh,"Gold, 5 Pounds, 12, geprägt",Numismatik,1839
2354121,18201293,USA: 1803,,MKNeuzeit19Jh,"Bronze, Cent (USD), geprägt",Numismatik,1803
2354122,18201294,Schweiz: Genf,,MKNeuzeit19Jh,"Billon, 4 Centimes (CH), geprägt",Numismatik,1839
2354128,18201300,USA: 1857,,MKNeuzeit19Jh,"Silber, 10 Cent (Dime, USD), geprägt",Numismatik,1857
2354157,18201328,Spanien: Isabella II.,"Isabella II. (1833-1868), Königin von Spanien",MKNeuzeit19Jh,"Silber, 2 Escudos, geprägt",Numismatik,1868
2354161,18201332,Frankreich: Napoleon I.,"Napoleon Bonaparte (1799-1815), 1799-1804 Erster Konsul, 1804-1814, 1815 als Napoleon I. Kaiser der Franzosen",MKNeuzeit19Jh,"Silber, 5 Francs (FRF), geprägt",Numismatik,1808
2354165,18201336,Bremen: Stadt,,MKNeuzeit19Jh,"Silber, 36 Grote, geprägt",Numismatik,1864
2354230,18201401,Niederlande: Wilhelm I.,"Wilhelm I. (1815-1840), König der Niederlande",MKNeuzeit19Jh,"Silber, Gulden, 6, geprägt",Numismatik,1819
2354238,18201409,Würzburg: Ferdinand von Österreich,"Ferdinand von Österreich (1790-1824), 1803-1805 Herzog von Salzburg, 1806-1814 Großherzog von Würzburg und 1790-1801, 1814-1824 der Toskana, 1803-1806 Kurfürst",MKNeuzeit19Jh,"Silber, Kreuzer, geprägt",Numismatik,1808
2354239,18201410,Württemberg: Wilhelm I.,"Wilhelm I. (1816-1864), König von Württemberg",MKNeuzeit19Jh,"Silber, Taler, geprägt, 12",Numismatik,1825
2354307,18201480,Schweden: Karl XV.,"Karl XV. (1859-1872), König von Schweden",MKNeuzeit19Jh,"Kupfer, 5 Öre (SEK), geprägt",Numismatik,1860
2354320,18201493,Kaiserreich: 1876,"Wilhelm I. (1861-1888), König von Preußen, seit 1871 deutscher Kaiser",MKNeuzeit19Jh,"Kupfer, Pfennig, geprägt",Numismatik,1876
2354326,18201499,Französisch-Indochina: 1896,,MKNeuzeit19Jh,"Silber, Piastre de Commerce, geprägt",Numismatik,1896
2354327,18201500,Frankreich: 2. Republik,,MKNeuzeit19Jh,"Kupfer, Piedfort (10 Centimes, FRF), geprägt",Numismatik,1848
2354330,18201503,Westfalen: Hieronymus Napoleon,"Hieronymus Napoleon (1807-1813), König von Westfalen",MKNeuzeit19Jh,"Gold, 5 Taler, geprägt",Numismatik,1810
2354338,18201511,Schweiz,,MKNeuzeit19Jh,"Billon, Rappen (CHF), geprägt",Numismatik,1801
2354380,18201558,Portugal: Ludwig I.,"Ludwig I. (1861-1889), König von Portugal",MKNeuzeit19Jh,"Gold, 10.000 Reis, geprägt",Numismatik,1884
2354384,18201562,Russland: Nikolaus I.,"Nikolaus I. (1825-1855), Zar von Russland",MKNeuzeit19Jh,"Silber, Rubel, 12, geprägt",Numismatik,1852
2354388,18201566,Indien: Victoria von Großbritannien,"Victoria (1837-1901), Königin von Großbritannien, seit 1877 Kaiserin von Indien",MKNeuzeit19Jh,"Silber, Rupee (Rupie), geprägt",Numismatik,1862
2354406,18201584,Schweiz,,MKNeuzeit19Jh,"Silber, Sou (Sol), geprägt",Numismatik,1825
2354410,18201588,Australien: Victoria von Großbritannien,"Victoria (1837-1901), Königin von Großbritannien, seit 1877 Kaiserin von Indien",MKNeuzeit19Jh,"Gold, Sovereign, geprägt",Numismatik,1871
2354412,18201591,Ceylon: Georg III. von Großbritannien,"Georg III. (1760-1820), König von Großbritannien, Kurfürst von Braunschweig-Lüneburg, seit 1814 König von Hannover",MKNeuzeit19Jh,"Kupfer, 2 Stivers, geprägt",Numismatik,1815
2354579,18201819,Münztechnik: Beckerscher Prägestempel Wallenstein (Waldstein),,MKNeuzeit19Jh,"Stahl, geprägt",Numismatik,ca. 1810-1830
2354581,18201821,Münztechnik: Beckerscher Prägestempel Dekadrachme Athen,,MKNeuzeit19Jh,"Stahl, geprägt",Numismatik,ca. 1810-1830
2354612,18201852,Großbritannien: Georg III.,"Georg III. (1760-1820), König von Großbritannien, Kurfürst von Braunschweig-Lüneburg, seit 1814 König von Hannover",MKNeuzeit19Jh,"Silber, 3 Shillings (Banktoken), 12, geprägt",Numismatik,1811
2354613,18201853,Großbritannien: Victoria,"Victoria (1837-1901), Königin von Großbritannien, seit 1877 Kaiserin von Indien",MKNeuzeit19Jh,"Gold, 5 Pounds, 12, geprägt",Numismatik,1893
