ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2432173,,Fragment eines gelblichen Gewebes,,SBMunbekanntOLD,"Wolle oder Leinen (?), in Leinwandbindung gewebt",Textilie,unbestimmt
2580087,,Transportkiste BRD,,SBMunbekanntOLD,,Allgemein,
2593246,,#Plakette,,SBMunbekanntOLD,"Bronze, Bronze",Allgemein,
2423321,8761 -1,Madonna mit zwei Engeln,"Bellano, Bartolomeo",SBMunbekanntOLD,"? auf Holz, gefasst, keramik, Irdenware, Teilvergoldungen",Allgemein,
2612667,8761 -2,Madonna mit zwei Engeln (Rahmen),,SBMunbekanntOLD,"Holz, gefasst",Allgemein,
2615653,A 310 a,Gipsrelief,,SBMunbekanntOLD,Gips,,
2615655,A 310 aa,Gipsrelief,,SBMunbekanntOLD,"Gips, Metall, zwei Schrauben als Halterung",,
2018996,Lfd. Nr.1,,,SBMunbekanntOLD,"Holz, Holz",Allgemein,unbestimmte Zeit
2018177,Lfd. Nr.2,,,SBMunbekanntOLD,"Eisen, Holz, Leder, Eisen, Holz, Leder",Allgemein,unbestimmte Zeit
2019559,Lfd. Nr.3,,,SBMunbekanntOLD,,Allgemein,unbestimmte Zeit
1911734,Lfd. Nr.1040_1-39,Münzfries,"Schadow, Johann Gottfried",SBMunbekanntOLD,"Sandstein, Sandstein",Architektur,1798 - 1800
2419690,Lfd. Nr.,Teil eines Fingers,,SBMunbekanntOLD,"Gips, Gips",Allgemein,
2425229,Lfd. Nr.46a-b_Textil,Zwei Fragmente eines Gewebes mit Zierstreifen,,SBMunbekanntOLD,"Leinen und Wolle, Grundgewebe in Leinwandbindung gewebt"";"" Zierstreifen gewirkt",Textilie,5.-7. Jahrhundert
2425245,Lfd. Nr.55_Textil,Fragment einer bunten Wirkerei,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,5.-7. Jahrhundert
2425249,Lfd. Nr.56_Textil,Runder Besatz mit pflanzlichen Motiven,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425252,Lfd. Nr.57_Textil,Fragment eines runden Besatzes,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425253,Lfd. Nr.58_Textil,Fragment einer Borte,,SBMunbekanntOLD,"Wolle und Leinen, in Leinwandbindung gewebt, Muster lanciert",Textilie,7.-9. Jahrhundert
2425254,Lfd. Nr.60_Textil,Fragment eines runden Besatzes,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425257,Lfd. Nr.62_Textil,Fragment einer Borte,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425258,Lfd. Nr.63_Textil,Fragment eines Besatzes,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425324,Lfd. Nr.67_Textil,Fragment eines Gewebes mit Streifen und Streumuster,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,5.-8. Jahrhundert
2425326,Lfd. Nr.68_Textil,Borte vom Ärmel einer Tunika,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425327,Lfd. Nr.69_Textil,Borte von einer Tunika,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425328,Lfd. Nr.70_Textil,Borte von einer Tunika,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425330,Lfd. Nr.71_Textil,Borte von einer Tunika,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425331,Lfd. Nr.72_Textil,Fragment eines Besatzes,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425333,Lfd. Nr.74_Textil,Fragment einer Borte,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425334,Lfd. Nr.75_Textil,Fragment einer Borte,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425335,Lfd. Nr.76_Textil,Fragment einer Borte,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425337,Lfd. Nr.77_Textil,Borte von einer Tunika,,SBMunbekanntOLD,"Wolle und Leinen, in Leinwandbindung gewebt"";"" Muster lanciert",Textilie,7.-9. Jahrhundert
2425338,Lfd. Nr.78_Textil,Winziger Rest eines verzierten Gewebes,,SBMunbekanntOLD,"Wolle, gewirkt",Textilie,7.-9. Jahrhundert
2425339,Lfd. Nr.79_Textil,Winziger Rest eines verzierten Gewebes,,SBMunbekanntOLD,"Wolle, gewirkt",Textilie,7.-9. Jahrhundert
2425256,Lfd. Nr.80_Textil,Fragment einer Borte,,SBMunbekanntOLD,"Wolle und Leinen, in Leinwandbindung gewebt, Muster lanciert",Textilie,7.-9. Jahrhundert
2425340,Lfd. Nr.81_Textil,Kleiner Rest eines verzierten Gewebes,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425341,Lfd. Nr.82a-b_Textil,Zwei Fragmente eines Gewebes mit Streifen und figürlichen Motiven,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425342,Lfd. Nr.83_Textil,Rest eines verzierten Gewebes,,SBMunbekanntOLD,"Wolle, gewirkt",Textilie,7.-9. Jahrhundert
2424601,Lfd. Nr.84_Textil,Gewebefragment mit Streifen,,SBMunbekanntOLD,"Grundgewebe aus Wolle"";"" Streifen aus Wolle, Grundgewebe und Streifen in Leinwandbindung gewebt",Textilie,7.-9. Jahrhundert
2424599,Lfd. Nr.85_Textil,Fragment eines Ärmels,,SBMunbekanntOLD,"Grundgewebe aus Wolle""; Muster aus Wolle, Grundgewebe in Leinwandbindung gewebt;"" Muster gewirkt",Textilie,7.-9. Jahrhundert
2424614,Lfd. Nr.89_Textil,Fragment der Halspartie einer Kindertunika,,SBMunbekanntOLD,"Grundgewebe aus Leinen""; Besätze aus Wolle und Leinen, Grundgewebe in Leinwandbindung gewebt; Borte in Leinwandbindung, lanciert;"" Borte gewirkt",Textilie,7.-9. Jahrhundert
2424627,Lfd. Nr.90_Textil,Borte oder Clavus,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2424629,Lfd. Nr.91_Textil,Fragment einer Borte,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2425126,Lfd. Nr.92a-b_Textil,Zwei Fragmente einer Tunika,,SBMunbekanntOLD,"Wolle und Leinen, Grundgewebe in Leinwandbindung gewebt"";"" Borten in Leinwandbindung gewebt, Muster lanciert",Textilie,7.-9. Jahrhundert
2424630,Lfd. Nr.93_Textil,Gewebefragment mit Streifen,,SBMunbekanntOLD,"Leinen und Wolle, Grundgewebe und Streifen in Leinwandbindung gewebt",Textilie,7.-9. Jahrhundert
2424845,Lfd. Nr.94_Textil,Fragmente eines Gewebes mit zwei Zierstreifen,,SBMunbekanntOLD,"Grundgewebe Leinen ?, Zierstreifen Leinen und Wolle, Grundgewebe in Leinwandbindung gewebt, Streifen gewirkt",Textilie,7.-9. Jahrhundert
2424848,Lfd. Nr.95_Textil,Fragmente eines Gewebes mit Bortenrest,,SBMunbekanntOLD,"Grundgewebe Leinen, Borte Leinen und Wolle, Grundgewebe in Leinwandbindung gewebt, Streifen gewirkt",Textilie,6.-9. Jahrhundert
2424849,Lfd. Nr.96_Textil,Borte mit Grundgeweberesten,,SBMunbekanntOLD,"Grundgewebe Wolle, Borte Wolle und Leinen, Grundgewebe in Leinwandbindung gewebt, Streifen gewirkt",Textilie,7.-9. Jahrhundert
2424851,Lfd. Nr.99_Textil,Gewebefragment mit Zierstreifen und langen Fransen,,SBMunbekanntOLD,"Grundgewebe Leinen, Streifen und Fransen aus Wolle und Leinen, Grundgewebe in Leinwandbindung gewebt, Streifen gewebt und gewirkt",Textilie,6.-9. Jahrhundert
2424852,Lfd. Nr.100_Textil,Gewebefragment mit rundem Besatz,,SBMunbekanntOLD,"Grundgewebe aus Leinen, Besatz aus Wolle und Leinen, Grundgewebe in Leinwandbindung gewebt"";"" Besatz gewirkt",Textilie,7.-9. Jahrhundert
2424856,Lfd. Nr.102_Textil,Gewebefragment mit Rest eines runden Einsatzes,,SBMunbekanntOLD,"Grundgewebe und Einsatz aus Wolle, Grundgewebe in Leinwandbindung gewebt"";"" Einsatz gewirkt",Textilie,7.-9. Jahrhundert
2419052,Lfd. Nr.103,2 Rahmenteile mit Blattornamenten (fragmente),,SBMunbekanntOLD,Holz,Allgemein,
2424863,Lfd. Nr.103_Textil,Gewebefragment mit Rest eines Dekors,,SBMunbekanntOLD,"Wolle, Grundgewebe in Leinwandbindung gewebt"";"" Dekor gewirkt",Textilie,7.-9. Jahrhundert
2419018,Lfd. Nr.104,Konsole mit 2 abgebrochenen Streben,,SBMunbekanntOLD,Holz,Allgemein,
2419019,Lfd. Nr.105,Architekturfragment / Säulenbasis aus Holz,,SBMunbekanntOLD,Holz,Allgemein,
2419016,Lfd. Nr.106,musizierender Engel,,SBMunbekanntOLD,Holz,Allgemein,
2424657,Lfd. Nr.106_Textil,Fragment eines Besatzes,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2418983,Lfd. Nr.108,,,SBMunbekanntOLD,"Holz, gefasst",Allgemein,
2425134,Lfd. Nr.108_Textil,Fragment einer Borte oder eines Clavus,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-9. Jahrhundert
2424596,Lfd. Nr.109_Textil,Reste einer Borte,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,7.-8. Jahrhundert
2419014,Lfd. Nr.110,Büste eines Bischofs,,SBMunbekanntOLD,Terracotta,Allgemein,
2419015,Lfd. Nr.111,Kandelaber / Säule (?),,SBMunbekanntOLD,"Holz, gefasst",Allgemein,
2425152,Lfd. Nr.111_Textil,Fragment einer Borte,,SBMunbekanntOLD,"Wolle und Leinen, Leinwandbindung gewebt, Muster lanciert",Textilie,7.-9. Jahrhundert
2419153,Lfd. Nr.112,Vier Teile Rocaille-Ornamente,,SBMunbekanntOLD,"Holz, gefasst",Allgemein,
2425155,Lfd. Nr.112_Textil,Gewebefragment mit Rautenmuster in Rechtecken,,SBMunbekanntOLD,"Wolle und Leinen ?, Leinwandbindung gewebt, Muster gewirkt und gestickt (?)",Textilie,7.-9. Jahrhundert
2419155,Lfd. Nr.113,Konsole,,SBMunbekanntOLD,"Holz, gefasst",Allgemein,
2425156,Lfd. Nr.113_Textil,Gewebefragment mit Zierstreifen,,SBMunbekanntOLD,"Leinen und Wolle, Grundgewebe in Leinwandbindung gewebt"";"" Streifen gewirkt",Textilie,7.-9. Jahrhundert
2419154,Lfd. Nr.114,Säulenplinthe,,SBMunbekanntOLD,"Holz, gefasst",Allgemein,
2425158,Lfd. Nr.114_Textil,Fragment einer Borte,,SBMunbekanntOLD,"Leinen und Wolle, Grundgewebe in Leinwandbindung gewebt"";"" Streifen gewirkt",Textilie,7.-9. Jahrhundert
2425182,Lfd. Nr.115_Textil,Gewebefragment mit Streifen,,SBMunbekanntOLD,"Wolle, Grundgewebe und Streifen in Leinwandbindung gewebt",Textilie,7.-9. Jahrhundert
2425183,Lfd. Nr.116_Textil,Gewebefragment mit Rautenband und vergoldeten Stuckrosetten,,SBMunbekanntOLD,"Leinen, Gips, Blattgold, Grundgewebe in Leinwandbindung gewebt, Rautenband gemalt"";"" Rosetten stuckatiert",Textilie,vermutlich ptolemäische Zeit
2424871,Lfd. Nr.117_Textil,Gewebefragment mit Besatzresten,,SBMunbekanntOLD,"Wolle, Leinen und Seide, Grundgewebe in Leinwandbindung gewebt"";"" Besätze vermutlich Samit",Textilie,7.-9. Jahrhundert
2425186,Lfd. Nr.118_Textil,Ärmel von einer Tunika,,SBMunbekanntOLD,"Wolle und Leinen, Grundgewebe und Streifen in Leinwandbindung gewebt"";"" Borte in Leinwandbindung gewebt, Muster lanciert",Textilie,7.-9. Jahrhundert
2425207,Lfd. Nr.119_Textil,Gewebefragment mit gesticktem Dekor,,SBMunbekanntOLD,"Wolle und Leinen, Grundgewebe in Leinwandbindung gewebt"";"" Muster gestickt",Textilie,mamelukisch ?
2425210,Lfd. Nr.120_Textil,Fragment aus dem Vorder- oder Rückenteil einer Tunika mit Clavus,,SBMunbekanntOLD,"Leinen und Wolle, Grundgewebe in Leinwandbindung gewebt"";"" Muster gewirkt",Textilie,5.-7. Jahrhundert
2425214,Lfd. Nr.121_Textil,Zwei Fragmente eines doppellagigen Textils mit Streifen,,SBMunbekanntOLD,"Wolle, Geflecht",Textilie,unbestimmt
2425215,Lfd. Nr.122_Textil,Fragment eines Gewebes mit Rauten,,SBMunbekanntOLD,"Leinen oder Baumwolle (?), Grundgewebe in Leinwandbindung gewebt, Motive lanciert",Textilie,unbestimmt
2419073,Lfd. Nr.125,Gruppe von Trauernden,,SBMunbekanntOLD,"Holz, gefasst",Allgemein,
2425217,Lfd. Nr.128_Textil,Fragment eines gestreiften Gewebes,,SBMunbekanntOLD,"Leinen und Wolle, Grundgewebe und Streifen in Leinwandbindung gewebt",Textilie,unbestimmt
2419151,Lfd. Nr.129,Vier Erdteile,,SBMunbekanntOLD,"Glas, gegossen",Allgemein,
2425219,Lfd. Nr.129_Textil,Fragment eines Gewebes mit Streifen,,SBMunbekanntOLD,"Wolle, Grundgewebe und Streifen in Leinwandbindung gewebt",Textilie,unbestimmt
2419059,Lfd. Nr.130,Verzierung Barock,,SBMunbekanntOLD,"Holz, gefasst",Allgemein,
2425221,Lfd. Nr.130_Textil,Fragment eines Gewebes mit Zierstreifen,,SBMunbekanntOLD,"Leinen und Wolle, Seide (?), Grundgewebe in Leinwandbindung gewebt"";"" Zierstreifen gewirkt",Textilie,Fatimiden
2439570,Lfd. Nr.130a,Heiliger Jakobus,,SBMunbekanntOLD,"Messing, vergoldet, Messing, vergoldet",Allgemein,
2439571,Lfd. Nr.131,Friedrich I. von Preußen (1977),"Faltz, Raimund",SBMunbekanntOLD,"Silber, Silber",Allgemein,
2419395,Lfd. Nr.132,Pferd,,SBMunbekanntOLD,Bronze,Allgemein,
2439573,Lfd. Nr.132a,Friedrich I. von Preußen,"Faltz, Raimund",SBMunbekanntOLD,"Silber, Silber",Allgemein,
2439778,Lfd. Nr.133,Heinrich II,Unbekannt,SBMunbekanntOLD,"Bronze, Bronze",Allgemein,
2439782,Lfd. Nr.134,Kopf,,SBMunbekanntOLD,"Bronze, Bronze",Allgemein,
2439780,Lfd. Nr.135,Anton Fugger (?),Unbekannt,SBMunbekanntOLD,"Bronze, Bronze",Allgemein,
2419205,Lfd. Nr.136,Philosoph mit Tuch und Philosoph mit Hahn,,SBMunbekanntOLD,Bronze,Allgemein,
2439547,Lfd. Nr.136,Bildnis eines bärtigen Alten,,SBMunbekanntOLD,"Speckstein, Speckstein",Allgemein,
2425276,Lfd. Nr.137,Bildnis eines Mannes,,SBMunbekanntOLD,Wachs,Allgemein,
2439532,Lfd. Nr.137(2),Figur,,SBMunbekanntOLD,"Alabaster, Alabaster",Allgemein,
2439524,Lfd. Nr.138,Zwei verschrenkte Figuren,,SBMunbekanntOLD,"Alabaster, Alabaster",Allgemein,
2439533,Lfd. Nr.139,Figur,,SBMunbekanntOLD,"Keramik, Keramik",Allgemein,
2439871,Lfd. Nr.140,Dryas,,SBMunbekanntOLD,"Hinterglasmalerei auf Silber mit Rahmen, Hinterglasmalerei auf Silber mit Rahmen",Allgemein,
2425277,Lfd. Nr.141,Bildnis eines Mannes und einer Frau (älteres Paar): Sokrates und Xantippe,,SBMunbekanntOLD,Wachs im Holzrahmen,Allgemein,18. Jh.
2425358,Lfd. Nr.141_Textil,Quadratischer Besatz mit Rautenmuster,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,5.-9. Jahrhundert
2439872,Lfd. Nr.141a,Flora,,SBMunbekanntOLD,"Hinterglasmalerei auf Silber mit Rahmen, Hinterglasmalerei auf Silber mit Rahmen",Allgemein,
2425278,Lfd. Nr.142,Ottheinrich von der Pfalz,,SBMunbekanntOLD,Silber,Allgemein,
2425388,Lfd. Nr.142_Textil,Fragment einer Wirkerei mit figürlichen und pflanzlichen Motiven,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,5.-7. Jahrhundert
2439869,Lfd. Nr.142a,5 Fragmene eines Bischofstabs (?),,SBMunbekanntOLD,"Metall, Metall",Allgemein,
2425345,Lfd. Nr.143_Textil,Quadratisches Zierstück,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,5.-7. Jahrhundert
2439873,Lfd. Nr.143a,12 Apostel,Unbekannt,SBMunbekanntOLD,"Bronze, Bronze",Allgemein,
2439867,Lfd. Nr.144,Männerportrait,Unbekannt,SBMunbekanntOLD,"Holz, Holz",Allgemein,
2425391,Lfd. Nr.144_Textil,Fragment einer Borte mit Rautenmuster,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,5.-9. Jahrhundert
2425279,Lfd. Nr.145,König Karl,,SBMunbekanntOLD,Bronze,Allgemein,
2425392,Lfd. Nr.145_Textil,Fragment einer Borte mit gereihten Herzen,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,5.-9. Jahrhundert
2440447,Lfd. Nr.145a,Susanne und die beiden Alten,Unbekannt,SBMunbekanntOLD,"Blei, Blei",Allgemein,
2425393,Lfd. Nr.146_Textil,Rundes Zierstück mit menschlicher Figur zwischen Ranken,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,5.-7. Jahrhundert
2440096,Lfd. Nr.146a,Bianca Riaria / Drei Grazien,Unbekannt,SBMunbekanntOLD,"Blei, Blei",Allgemein,
2425394,Lfd. Nr.147_Textil,Fragment eines Zierstreifens,,SBMunbekanntOLD,"Wolle und Leinen, gewirkt",Textilie,5.-7. Jahrhundert
2425280,Lfd. Nr.148,Ottheinrich von der Pfalz,,SBMunbekanntOLD,Silber,Allgemein,
